Rent ID,Bachelor,1 Bedroom,2 Bedroom,3 Bedroom +,Total,Year,Province_id,Centre_id,Zone_id,Neighbourhood_id,Dwelling_id
Rent_53,0.0,0.0,0.0,0.0,0.0,2018,Province2,centre2,Zone3,Neighbourhood27,Dwelling1
Rent_54,0.0,0.0,0.0,0.0,0.0,2018,Province2,centre2,Zone3,Neighbourhood27,Dwelling2
Rent_55,0.0,0.0,0.0,1375.0,1375.0,2018,Province2,centre2,Zone3,Neighbourhood28,Dwelling1
Rent_56,0.0,0.0,678.0,0.0,671.0,2018,Province2,centre2,Zone3,Neighbourhood28,Dwelling2
Rent_57,0.0,0.0,0.0,0.0,1397.0,2018,Province2,centre2,Zone3,Neighbourhood29,Dwelling1
Rent_58,0.0,0.0,0.0,0.0,0.0,2018,Province2,centre2,Zone3,Neighbourhood29,Dwelling2
Rent_59,0.0,0.0,0.0,0.0,0.0,2018,Province3,centre3,Zone13,Neighbourhood30,Dwelling1
Rent_60,588.0,719.0,833.0,802.0,769.0,2018,Province3,centre3,Zone13,Neighbourhood30,Dwelling2
Rent_61,0.0,0.0,0.0,0.0,0.0,2018,Province3,centre3,Zone13,Neighbourhood31,Dwelling1
Rent_62,565.0,650.0,776.0,825.0,740.0,2018,Province3,centre3,Zone13,Neighbourhood31,Dwelling2
Rent_63,0.0,0.0,0.0,0.0,0.0,2018,Province3,centre3,Zone14,Neighbourhood32,Dwelling1
Rent_64,626.0,699.0,802.0,818.0,755.0,2018,Province3,centre3,Zone14,Neighbourhood32,Dwelling2
Rent_65,0.0,0.0,0.0,0.0,0.0,2018,Province3,centre3,Zone15,Neighbourhood33,Dwelling1
Rent_66,0.0,642.0,807.0,0.0,829.0,2018,Province3,centre3,Zone15,Neighbourhood33,Dwelling2
Rent_67,0.0,0.0,0.0,0.0,0.0,2018,Province3,centre3,Zone15,Neighbourhood34,Dwelling1
Rent_68,0.0,680.0,866.0,1001.0,855.0,2018,Province3,centre3,Zone15,Neighbourhood34,Dwelling2
Rent_69,0.0,0.0,0.0,0.0,0.0,2018,Province3,centre3,Zone15,Neighbourhood35,Dwelling1
Rent_70,684.0,664.0,786.0,0.0,766.0,2018,Province3,centre3,Zone15,Neighbourhood35,Dwelling2
Rent_71,0.0,0.0,0.0,0.0,0.0,2018,Province3,centre3,Zone15,Neighbourhood36,Dwelling1
Rent_72,0.0,0.0,0.0,0.0,0.0,2018,Province3,centre3,Zone15,Neighbourhood36,Dwelling2
Rent_73,0.0,0.0,0.0,0.0,0.0,2018,Province3,centre3,Zone16,Neighbourhood37,Dwelling1
Rent_74,602.0,657.0,785.0,911.0,736.0,2018,Province3,centre3,Zone16,Neighbourhood37,Dwelling2
Rent_75,0.0,0.0,0.0,0.0,0.0,2018,Province3,centre3,Zone16,Neighbourhood38,Dwelling1
Rent_76,0.0,844.0,957.0,0.0,945.0,2018,Province3,centre3,Zone16,Neighbourhood38,Dwelling2
Rent_77,0.0,0.0,0.0,0.0,0.0,2018,Province3,centre3,Zone17,Neighbourhood39,Dwelling1
Rent_78,0.0,754.0,836.0,1135.0,834.0,2018,Province3,centre3,Zone17,Neighbourhood39,Dwelling2
Rent_79,0.0,0.0,0.0,0.0,0.0,2018,Province3,centre3,Zone18,Neighbourhood40,Dwelling1
Rent_80,0.0,703.0,827.0,1000.0,811.0,2018,Province3,centre3,Zone18,Neighbourhood40,Dwelling2
Rent_81,0.0,0.0,0.0,0.0,0.0,2018,Province3,centre3,Zone18,Neighbourhood41,Dwelling1
Rent_82,0.0,0.0,797.0,0.0,779.0,2018,Province3,centre3,Zone18,Neighbourhood41,Dwelling2
Rent_83,0.0,0.0,0.0,0.0,0.0,2018,Province3,centre3,Zone18,Neighbourhood42,Dwelling1
Rent_84,0.0,906.0,1095.0,0.0,1072.0,2018,Province3,centre3,Zone18,Neighbourhood42,Dwelling2
Rent_85,0.0,0.0,0.0,0.0,0.0,2018,Province3,centre3,Zone3,Neighbourhood43,Dwelling1
Rent_86,0.0,536.0,704.0,0.0,657.0,2018,Province3,centre3,Zone3,Neighbourhood43,Dwelling2
Rent_87,0.0,0.0,0.0,0.0,0.0,2018,Province3,centre3,Zone3,Neighbourhood44,Dwelling1
Rent_88,0.0,0.0,0.0,0.0,0.0,2018,Province3,centre3,Zone3,Neighbourhood44,Dwelling2
Rent_89,0.0,0.0,0.0,0.0,0.0,2018,Province3,centre4,Zone19,Neighbourhood5,Dwelling1
Rent_90,433.0,630.0,693.0,867.0,644.0,2018,Province3,centre4,Zone19,Neighbourhood5,Dwelling2
Rent_91,0.0,0.0,0.0,0.0,0.0,2018,Province3,centre4,Zone19,Neighbourhood45,Dwelling1
Rent_92,583.0,663.0,836.0,1024.0,750.0,2018,Province3,centre4,Zone19,Neighbourhood45,Dwelling2
Rent_93,0.0,0.0,0.0,0.0,0.0,2018,Province3,centre4,Zone20,Neighbourhood46,Dwelling1
Rent_94,0.0,579.0,696.0,800.0,690.0,2018,Province3,centre4,Zone20,Neighbourhood46,Dwelling2
Rent_95,0.0,0.0,0.0,0.0,0.0,2018,Province3,centre4,Zone21,Neighbourhood47,Dwelling1
Rent_96,479.0,592.0,684.0,723.0,655.0,2018,Province3,centre4,Zone21,Neighbourhood47,Dwelling2
Rent_97,0.0,0.0,0.0,0.0,0.0,2018,Province3,centre4,Zone21,Neighbourhood8,Dwelling1
Rent_98,598.0,763.0,809.0,748.0,785.0,2018,Province3,centre4,Zone21,Neighbourhood8,Dwelling2
Rent_99,0.0,0.0,0.0,0.0,0.0,2018,Province3,centre4,Zone21,Neighbourhood48,Dwelling1
Rent_100,571.0,666.0,787.0,0.0,771.0,2018,Province3,centre4,Zone21,Neighbourhood48,Dwelling2
Rent_101,0.0,0.0,0.0,0.0,0.0,2018,Province3,centre4,Zone22,Neighbourhood49,Dwelling1
Rent_102,556.0,622.0,757.0,764.0,728.0,2018,Province3,centre4,Zone22,Neighbourhood49,Dwelling2
Rent_103,0.0,0.0,0.0,0.0,0.0,2018,Province3,centre4,Zone23,Neighbourhood50,Dwelling1
Rent_104,0.0,611.0,665.0,0.0,667.0,2018,Province3,centre4,Zone23,Neighbourhood50,Dwelling2
Rent_105,0.0,0.0,0.0,0.0,0.0,2018,Province3,centre4,Zone23,Neighbourhood51,Dwelling1
Rent_106,0.0,0.0,0.0,0.0,0.0,2018,Province3,centre4,Zone23,Neighbourhood51,Dwelling2
Rent_107,0.0,0.0,0.0,0.0,0.0,2018,Province3,centre4,Zone23,Neighbourhood52,Dwelling1
Rent_108,0.0,0.0,0.0,0.0,562.0,2018,Province3,centre4,Zone23,Neighbourhood52,Dwelling2
Rent_109,0.0,0.0,0.0,0.0,0.0,2018,Province3,centre4,Zone23,Neighbourhood53,Dwelling1
Rent_110,0.0,0.0,0.0,0.0,0.0,2018,Province3,centre4,Zone23,Neighbourhood53,Dwelling2
Rent_111,0.0,0.0,0.0,0.0,0.0,2018,Province4,centre5,Zone24,Neighbourhood54,Dwelling1
