Province,Centres,Zones,Neighbourhood,Dwelling Type ,Bachelor,1 Bedroom,2 Bedroom,3 Bedroom +,Total,Year,Centre_id,Zone_id,Units_ID
N.S.,Halifax,Dartmouth North,Burnside/Tufts Cove,Apt & Other,143.0,2162.0,1805.0,137.0,4247.0,2018,centre2,Zone8,Units_34
N.S.,Halifax,Dartmouth South,Downtown Dartmouth,Row,0.0,0.0,0.0,0.0,0.0,2018,centre2,Zone9,Units_35
N.S.,Halifax,Dartmouth South,Downtown Dartmouth,Apt & Other,42.0,932.0,1004.0,276.0,2254.0,2018,centre2,Zone9,Units_36
N.S.,Halifax,Dartmouth South,Woodside/Eastern Passage,Row,0.0,0.0,0.0,6.0,6.0,2018,centre2,Zone9,Units_37
N.S.,Halifax,Dartmouth South,Woodside/Eastern Passage,Apt & Other,48.0,278.0,548.0,20.0,894.0,2018,centre2,Zone9,Units_38
N.S.,Halifax,Dartmouth East,Portland Estates/Morris Lake,Row,0.0,0.0,0.0,0.0,0.0,2018,centre2,Zone10,Units_39
N.S.,Halifax,Dartmouth East,Portland Estates/Morris Lake,Apt & Other,5.0,149.0,695.0,18.0,867.0,2018,centre2,Zone10,Units_40
N.S.,Halifax,Dartmouth East,Woodlawn/Forest Hills/Port Wallace,Row,0.0,2.0,6.0,17.0,25.0,2018,centre2,Zone10,Units_41
N.S.,Halifax,Dartmouth East,Woodlawn/Forest Hills/Port Wallace,Apt & Other,5.0,320.0,712.0,123.0,1160.0,2018,centre2,Zone10,Units_42
N.S.,Halifax,Dartmouth East,Cole Harbour,Row,0.0,0.0,0.0,0.0,0.0,2018,centre2,Zone10,Units_43
N.S.,Halifax,Dartmouth East,Cole Harbour,Apt & Other,4.0,12.0,284.0,7.0,307.0,2018,centre2,Zone10,Units_44
N.S.,Halifax,Bedford,Bedford,Row,0.0,0.0,5.0,5.0,10.0,2018,centre2,Zone11,Units_45
N.S.,Halifax,Bedford,Bedford,Apt & Other,27.0,227.0,1384.0,251.0,1889.0,2018,centre2,Zone11,Units_46
N.S.,Halifax,Sackville,Sackville,Row,0.0,0.0,31.0,23.0,54.0,2018,centre2,Zone12,Units_47
N.S.,Halifax,Sackville,Sackville,Apt & Other,5.0,259.0,968.0,203.0,1435.0,2018,centre2,Zone12,Units_48
N.S.,Halifax,Remainder of CMA,Timberlea/Beechville,Row,0.0,0.0,0.0,0.0,0.0,2018,centre2,Zone3,Units_49
N.S.,Halifax,Remainder of CMA,Timberlea/Beechville,Apt & Other,0.0,77.0,192.0,0.0,269.0,2018,centre2,Zone3,Units_50
N.S.,Halifax,Remainder of CMA,Hammonds Plains,Row,0.0,0.0,25.0,0.0,25.0,2018,centre2,Zone3,Units_51
N.S.,Halifax,Remainder of CMA,Hammonds Plains,Apt & Other,7.0,11.0,687.0,21.0,726.0,2018,centre2,Zone3,Units_52
N.S.,Halifax,Remainder of CMA,Herring Cove/Terence Bay/Prospect etc.,Row,0.0,0.0,0.0,0.0,0.0,2018,centre2,Zone3,Units_53
N.S.,Halifax,Remainder of CMA,Herring Cove/Terence Bay/Prospect etc.,Apt & Other,0.0,1.0,10.0,7.0,18.0,2018,centre2,Zone3,Units_54
N.S.,Halifax,Remainder of CMA,Waverley/Fall River/Beaverbank,Row,0.0,0.0,3.0,16.0,19.0,2018,centre2,Zone3,Units_55
N.S.,Halifax,Remainder of CMA,Waverley/Fall River/Beaverbank,Apt & Other,29.0,24.0,36.0,2.0,91.0,2018,centre2,Zone3,Units_56
N.S.,Halifax,Remainder of CMA,Halifax County East,Row,0.0,7.0,14.0,0.0,21.0,2018,centre2,Zone3,Units_57
