Province,Centres,Zones,Neighbourhood,Dwelling Type ,Bachelor,1 Bedroom,2 Bedroom,3 Bedroom +,Total,Year,Centre_id,Zone_id,VR_ID
Nfld.Lab.,St. John's,St. John's East,St. John's East,Row,0.0,0.0,0.0,0.0,0.0,2018,centre1,Zone1,VR_1
Nfld.Lab.,St. John's,St. John's East,St. John's East,Apt & Other,0.0,3.9,6.4,5.2,5.6,2018,centre1,Zone1,VR_2
Nfld.Lab.,St. John's,St. John's West,St. John's West,Row,0.0,0.0,0.0,0.0,1.5,2018,centre1,Zone2,VR_3
Nfld.Lab.,St. John's,St. John's West,St. John's West,Apt & Other,3.9,6.1,6.1,0.0,6.2,2018,centre1,Zone2,VR_4
Nfld.Lab.,St. John's,Remainder of CMA,Remainder of CMA,Row,0.0,0.0,0.0,0.0,0.0,2018,centre1,Zone3,VR_5
Nfld.Lab.,St. John's,Remainder of CMA,Remainder of CMA,Apt & Other,0.0,4.5,0.0,0.0,0.0,2018,centre1,Zone3,VR_6
N.S.,Halifax,Peninsula South,Downtown Halifax,Row,0.0,0.0,0.0,0.0,0.0,2018,centre2,Zone4,VR_7
N.S.,Halifax,Peninsula South,Downtown Halifax,Apt & Other,0.7,1.1,1.1,1.4,1.1,2018,centre2,Zone4,VR_8
N.S.,Halifax,Peninsula South,South End,Row,0.0,0.0,0.0,0.0,0.0,2018,centre2,Zone4,VR_9
N.S.,Halifax,Peninsula South,South End,Apt & Other,1.2,0.8,1.4,1.2,1.1,2018,centre2,Zone4,VR_10
N.S.,Halifax,Peninsula South,Peninsula Southwest,Row,0.0,0.0,0.0,0.0,0.0,2018,centre2,Zone4,VR_11
N.S.,Halifax,Peninsula South,Peninsula Southwest,Apt & Other,1.6,1.1,0.7,0.0,1.1,2018,centre2,Zone4,VR_12
N.S.,Halifax,Peninsula North,Peninsula Northwest,Row,0.0,0.0,0.0,0.0,2.3,2018,centre2,Zone5,VR_13
N.S.,Halifax,Peninsula North,Peninsula Northwest,Apt & Other,0.6,1.1,0.8,0.0,1.1,2018,centre2,Zone5,VR_14
N.S.,Halifax,Peninsula North,North End,Row,0.0,0.0,0.0,0.0,0.0,2018,centre2,Zone5,VR_15
N.S.,Halifax,Peninsula North,North End,Apt & Other,0.0,0.2,1.6,0.0,1.1,2018,centre2,Zone5,VR_16
N.S.,Halifax,Mainland South,Armdale,Row,0.0,0.0,0.0,0.0,0.0,2018,centre2,Zone6,VR_17
N.S.,Halifax,Mainland South,Armdale,Apt & Other,0.0,0.0,0.4,0.0,0.3,2018,centre2,Zone6,VR_18
N.S.,Halifax,Mainland South,Spryfield/Herring Cove,Row,0.0,0.0,0.0,0.0,0.0,2018,centre2,Zone6,VR_19
N.S.,Halifax,Mainland South,Spryfield/Herring Cove,Apt & Other,0.0,1.2,1.6,1.1,1.4,2018,centre2,Zone6,VR_20
N.S.,Halifax,Mainland North,Fairmount,Row,0.0,0.0,0.0,0.0,0.0,2018,centre2,Zone7,VR_21
N.S.,Halifax,Mainland North,Fairmount,Apt & Other,0.0,0.0,0.0,0.0,0.0,2018,centre2,Zone7,VR_22
N.S.,Halifax,Mainland North,Fairview,Row,0.0,0.0,0.0,0.0,0.0,2018,centre2,Zone7,VR_23
N.S.,Halifax,Mainland North,Fairview,Apt & Other,0.0,2.8,1.4,0.0,1.7,2018,centre2,Zone7,VR_24
N.S.,Halifax,Mainland North,Clayton Park/Rockingham,Row,0.0,0.0,0.0,0.7,0.5,2018,centre2,Zone7,VR_25
N.S.,Halifax,Mainland North,Clayton Park/Rockingham,Apt & Other,1.4,0.9,0.7,0.5,0.8,2018,centre2,Zone7,VR_26
N.S.,Halifax,Mainland North,Bedford South,Row,0.0,0.0,0.0,0.0,0.0,2018,centre2,Zone7,VR_27
N.S.,Halifax,Mainland North,Bedford South,Apt & Other,0.0,0.7,1.5,0.8,1.2,2018,centre2,Zone7,VR_28
N.S.,Halifax,Dartmouth North,Wyse Road,Row,0.0,0.0,0.0,0.0,0.0,2018,centre2,Zone8,VR_29
N.S.,Halifax,Dartmouth North,Wyse Road,Apt & Other,0.0,0.5,0.0,0.0,1.5,2018,centre2,Zone8,VR_30
N.S.,Halifax,Dartmouth North,Albro Lake/Lake Banook,Row,0.0,0.0,0.0,0.0,0.0,2018,centre2,Zone8,VR_31
N.S.,Halifax,Dartmouth North,Albro Lake/Lake Banook,Apt & Other,0.0,0.3,0.4,0.0,0.6,2018,centre2,Zone8,VR_32
N.S.,Halifax,Dartmouth North,Burnside/Tufts Cove,Row,0.0,0.0,0.0,5.9,0.0,2018,centre2,Zone8,VR_33
N.S.,Halifax,Dartmouth North,Burnside/Tufts Cove,Apt & Other,2.8,5.3,3.8,0.0,4.4,2018,centre2,Zone8,VR_34
N.S.,Halifax,Dartmouth South,Downtown Dartmouth,Row,0.0,0.0,0.0,0.0,0.0,2018,centre2,Zone9,VR_35
N.S.,Halifax,Dartmouth South,Downtown Dartmouth,Apt & Other,0.0,2.4,3.0,2.7,3.0,2018,centre2,Zone9,VR_36
N.S.,Halifax,Dartmouth South,Woodside/Eastern Passage,Row,0.0,0.0,0.0,0.0,0.0,2018,centre2,Zone9,VR_37
N.S.,Halifax,Dartmouth South,Woodside/Eastern Passage,Apt & Other,0.0,1.9,0.7,0.0,1.0,2018,centre2,Zone9,VR_38
N.S.,Halifax,Dartmouth East,Portland Estates/Morris Lake,Row,0.0,0.0,0.0,0.0,0.0,2018,centre2,Zone10,VR_39
N.S.,Halifax,Dartmouth East,Portland Estates/Morris Lake,Apt & Other,0.0,2.0,0.6,0.0,0.8,2018,centre2,Zone10,VR_40
N.S.,Halifax,Dartmouth East,Woodlawn/Forest Hills/Port Wallace,Row,0.0,0.0,0.0,0.0,0.0,2018,centre2,Zone10,VR_41
N.S.,Halifax,Dartmouth East,Woodlawn/Forest Hills/Port Wallace,Apt & Other,0.0,1.7,2.5,5.6,2.6,2018,centre2,Zone10,VR_42
N.S.,Halifax,Dartmouth East,Cole Harbour,Row,0.0,0.0,0.0,0.0,0.0,2018,centre2,Zone10,VR_43
N.S.,Halifax,Dartmouth East,Cole Harbour,Apt & Other,0.0,0.0,1.3,0.0,1.2,2018,centre2,Zone10,VR_44
N.S.,Halifax,Bedford,Bedford,Row,0.0,0.0,0.0,0.0,0.0,2018,centre2,Zone11,VR_45
N.S.,Halifax,Bedford,Bedford,Apt & Other,0.0,0.5,1.3,0.4,1.1,2018,centre2,Zone11,VR_46
N.S.,Halifax,Sackville,Sackville,Row,0.0,0.0,0.0,0.0,0.0,2018,centre2,Zone12,VR_47
N.S.,Halifax,Sackville,Sackville,Apt & Other,0.0,0.8,2.2,3.0,2.0,2018,centre2,Zone12,VR_48
N.S.,Halifax,Remainder of CMA,Timberlea/Beechville,Row,0.0,0.0,0.0,0.0,0.0,2018,centre2,Zone3,VR_49
N.S.,Halifax,Remainder of CMA,Timberlea/Beechville,Apt & Other,0.0,0.0,0.0,0.0,0.0,2018,centre2,Zone3,VR_50
N.S.,Halifax,Remainder of CMA,Hammonds Plains,Row,0.0,0.0,0.0,0.0,0.0,2018,centre2,Zone3,VR_51
N.S.,Halifax,Remainder of CMA,Hammonds Plains,Apt & Other,0.0,0.0,3.2,0.0,3.1,2018,centre2,Zone3,VR_52
N.S.,Halifax,Remainder of CMA,Herring Cove/Terence Bay/Prospect etc.,Row,0.0,0.0,0.0,0.0,0.0,2018,centre2,Zone3,VR_53
N.S.,Halifax,Remainder of CMA,Herring Cove/Terence Bay/Prospect etc.,Apt & Other,0.0,0.0,0.0,0.0,0.0,2018,centre2,Zone3,VR_54
N.S.,Halifax,Remainder of CMA,Waverley/Fall River/Beaverbank,Row,0.0,0.0,0.0,37.5,0.0,2018,centre2,Zone3,VR_55
N.S.,Halifax,Remainder of CMA,Waverley/Fall River/Beaverbank,Apt & Other,0.0,0.0,0.0,0.0,0.0,2018,centre2,Zone3,VR_56
N.S.,Halifax,Remainder of CMA,Halifax County East,Row,0.0,0.0,0.0,0.0,0.0,2018,centre2,Zone3,VR_57
N.S.,Halifax,Remainder of CMA,Halifax County East,Apt & Other,0.0,0.0,0.0,0.0,0.0,2018,centre2,Zone3,VR_58
N.B.,Moncton,Central Moncton,Downtown Moncton,Row,0.0,0.0,0.0,0.0,0.0,2018,centre3,Zone13,VR_59
N.B.,Moncton,Central Moncton,Downtown Moncton,Apt & Other,0.0,0.0,1.7,0.0,1.9,2018,centre3,Zone13,VR_60
N.B.,Moncton,Central Moncton,Garden Hill,Row,0.0,0.0,0.0,0.0,0.0,2018,centre3,Zone13,VR_61
N.B.,Moncton,Central Moncton,Garden Hill,Apt & Other,0.0,0.0,3.7,0.0,3.4,2018,centre3,Zone13,VR_62
N.B.,Moncton,West Moncton,West Moncton,Row,0.0,0.0,0.0,0.0,0.0,2018,centre3,Zone14,VR_63
N.B.,Moncton,West Moncton,West Moncton,Apt & Other,1.1,0.8,3.9,0.0,2.5,2018,centre3,Zone14,VR_64
N.B.,Moncton,East Moncton,Sunny Brae,Row,0.0,0.0,0.0,0.0,0.0,2018,centre3,Zone15,VR_65
N.B.,Moncton,East Moncton,Sunny Brae,Apt & Other,0.0,0.0,0.0,0.0,0.0,2018,centre3,Zone15,VR_66
N.B.,Moncton,East Moncton,Lewisville/Harrisville,Row,0.0,0.0,0.0,0.0,0.0,2018,centre3,Zone15,VR_67
N.B.,Moncton,East Moncton,Lewisville/Harrisville,Apt & Other,0.0,0.0,2.3,19.6,3.4,2018,centre3,Zone15,VR_68
N.B.,Moncton,East Moncton,Humphrey,Row,0.0,0.0,0.0,0.0,0.0,2018,centre3,Zone15,VR_69
N.B.,Moncton,East Moncton,Humphrey,Apt & Other,3.1,4.4,2.8,0.0,3.1,2018,centre3,Zone15,VR_70
N.B.,Moncton,East Moncton,Magnetic Hill/Irishtown,Row,0.0,0.0,0.0,0.0,0.0,2018,centre3,Zone15,VR_71
N.B.,Moncton,East Moncton,Magnetic Hill/Irishtown,Apt & Other,0.0,0.0,0.0,0.0,0.0,2018,centre3,Zone15,VR_72
N.B.,Moncton,North Moncton,Parkton,Row,0.0,0.0,0.0,0.0,0.0,2018,centre3,Zone16,VR_73
N.B.,Moncton,North Moncton,Parkton,Apt & Other,0.0,0.0,0.0,0.0,4.4,2018,centre3,Zone16,VR_74
N.B.,Moncton,North Moncton,North End/Ryan Road/Hildegarde,Row,0.0,0.0,0.0,0.0,0.0,2018,centre3,Zone16,VR_75
N.B.,Moncton,North Moncton,North End/Ryan Road/Hildegarde,Apt & Other,0.0,0.0,0.7,0.0,0.6,2018,centre3,Zone16,VR_76
N.B.,Moncton,Riverview,Riverview,Row,0.0,0.0,0.0,0.0,0.0,2018,centre3,Zone17,VR_77
N.B.,Moncton,Riverview,Riverview,Apt & Other,0.0,0.0,3.6,0.0,3.2,2018,centre3,Zone17,VR_78
N.B.,Moncton,Dieppe City,Downtown Dieppe,Row,0.0,0.0,0.0,0.0,0.0,2018,centre3,Zone18,VR_79
N.B.,Moncton,Dieppe City,Downtown Dieppe,Apt & Other,0.0,1.0,0.8,0.0,0.8,2018,centre3,Zone18,VR_80
N.B.,Moncton,Dieppe City,St. Anselme,Row,0.0,0.0,0.0,0.0,0.0,2018,centre3,Zone18,VR_81
N.B.,Moncton,Dieppe City,St. Anselme,Apt & Other,0.0,0.0,0.0,0.0,0.0,2018,centre3,Zone18,VR_82
N.B.,Moncton,Dieppe City,Fox Creek/Lakeburn,Row,0.0,0.0,0.0,0.0,0.0,2018,centre3,Zone18,VR_83
N.B.,Moncton,Dieppe City,Fox Creek/Lakeburn,Apt & Other,0.0,0.0,4.5,0.0,3.8,2018,centre3,Zone18,VR_84
N.B.,Moncton,Remainder of CMA,Southern Remainder of Moncton CMA,Row,0.0,0.0,0.0,0.0,0.0,2018,centre3,Zone3,VR_85
N.B.,Moncton,Remainder of CMA,Southern Remainder of Moncton CMA,Apt & Other,0.0,0.0,0.0,0.0,3.1,2018,centre3,Zone3,VR_86
N.B.,Moncton,Remainder of CMA,Northern Remainder of Moncton CMA,Row,0.0,0.0,0.0,0.0,0.0,2018,centre3,Zone3,VR_87
N.B.,Moncton,Remainder of CMA,Northern Remainder of Moncton CMA,Apt & Other,0.0,0.0,0.0,0.0,0.0,2018,centre3,Zone3,VR_88
N.B.,Saint John,South,South End,Row,0.0,0.0,0.0,0.0,0.0,2018,centre4,Zone19,VR_89
N.B.,Saint John,South,South End,Apt & Other,2.6,0.0,0.0,0.0,0.0,2018,centre4,Zone19,VR_90
N.B.,Saint John,South,Uptown,Row,0.0,0.0,0.0,0.0,0.0,2018,centre4,Zone19,VR_91
N.B.,Saint John,South,Uptown,Apt & Other,0.0,0.0,0.0,0.0,3.1,2018,centre4,Zone19,VR_92
N.B.,Saint John,West,West,Row,0.0,0.0,0.0,0.0,0.0,2018,centre4,Zone20,VR_93
N.B.,Saint John,West,West,Apt & Other,0.0,0.0,1.1,0.0,2.3,2018,centre4,Zone20,VR_94
N.B.,Saint John,North,Indian Town,Row,0.0,0.0,0.0,0.0,0.0,2018,centre4,Zone21,VR_95
N.B.,Saint John,North,Indian Town,Apt & Other,0.0,0.0,0.0,0.0,0.0,2018,centre4,Zone21,VR_96
N.B.,Saint John,North,North End,Row,0.0,0.0,0.0,0.0,0.0,2018,centre4,Zone21,VR_97
N.B.,Saint John,North,North End,Apt & Other,0.0,0.0,3.6,5.5,3.7,2018,centre4,Zone21,VR_98
N.B.,Saint John,North,Millidgeville,Row,0.0,0.0,0.0,0.0,0.0,2018,centre4,Zone21,VR_99
N.B.,Saint John,North,Millidgeville,Apt & Other,0.0,1.4,0.0,0.0,1.9,2018,centre4,Zone21,VR_100
N.B.,Saint John,East,East,Row,0.0,0.0,0.0,0.0,0.0,2018,centre4,Zone22,VR_101
N.B.,Saint John,East,East,Apt & Other,0.0,6.0,4.7,5.8,5.3,2018,centre4,Zone22,VR_102
N.B.,Saint John,Outlying Areas,Rothesay,Row,0.0,0.0,0.0,0.0,0.0,2018,centre4,Zone23,VR_103
N.B.,Saint John,Outlying Areas,Rothesay,Apt & Other,0.0,0.0,3.2,0.0,3.5,2018,centre4,Zone23,VR_104
N.B.,Saint John,Outlying Areas,Quipspamsis,Row,0.0,0.0,0.0,0.0,0.0,2018,centre4,Zone23,VR_105
N.B.,Saint John,Outlying Areas,Quipspamsis,Apt & Other,0.0,0.0,0.0,0.0,0.0,2018,centre4,Zone23,VR_106
