Units_ID,Province,Bachelor,1 Bedroom,2 Bedroom,3 Bedroom +,Total,Year,Centre_id,Zone_id,Neighbourhood_id,Dwelling_id
Units_6334,Ont.,1096.0,3338.0,1500.0,233.0,6167.0,2021,centre25,Zone163,Neighbourhood469,Dwelling2
Units_6335,Ont.,0.0,6.0,0.0,22.0,28.0,2021,centre25,Zone163,Neighbourhood470,Dwelling1
Units_6336,Ont.,140.0,657.0,591.0,47.0,1435.0,2021,centre25,Zone163,Neighbourhood470,Dwelling2
Units_6337,Ont.,0.0,0.0,31.0,23.0,54.0,2021,centre25,Zone163,Neighbourhood471,Dwelling1
Units_6338,Ont.,145.0,360.0,151.0,10.0,666.0,2021,centre25,Zone163,Neighbourhood471,Dwelling2
Units_6339,Ont.,0.0,0.0,0.0,0.0,0.0,2021,centre25,Zone164,Neighbourhood472,Dwelling1
Units_6340,Ont.,522.0,1681.0,1405.0,83.0,3691.0,2021,centre25,Zone164,Neighbourhood472,Dwelling2
Units_6341,Ont.,0.0,0.0,0.0,0.0,0.0,2021,centre25,Zone164,Neighbourhood473,Dwelling1
Units_6342,Ont.,98.0,655.0,494.0,28.0,1275.0,2021,centre25,Zone164,Neighbourhood473,Dwelling2
Units_6343,Ont.,0.0,0.0,0.0,0.0,0.0,2021,centre25,Zone164,Neighbourhood474,Dwelling1
Units_6344,Ont.,126.0,775.0,680.0,36.0,1617.0,2021,centre25,Zone164,Neighbourhood474,Dwelling2
Units_6345,Ont.,0.0,0.0,0.0,0.0,0.0,2021,centre25,Zone164,Neighbourhood475,Dwelling1
Units_6346,Ont.,20.0,86.0,284.0,22.0,412.0,2021,centre25,Zone164,Neighbourhood475,Dwelling2
Units_6347,Ont.,0.0,0.0,0.0,0.0,0.0,2021,centre25,Zone164,Neighbourhood476,Dwelling1
Units_6348,Ont.,45.0,141.0,335.0,113.0,634.0,2021,centre25,Zone164,Neighbourhood476,Dwelling2
Units_6349,Ont.,0.0,0.0,0.0,0.0,0.0,2021,centre25,Zone164,Neighbourhood477,Dwelling1
Units_6350,Ont.,106.0,1317.0,1449.0,91.0,2963.0,2021,centre25,Zone164,Neighbourhood477,Dwelling2
