ID,Province,Centres,Zones,Neighbourhood,Year,Centre_id,Zone_id,AR Bachelor,AR 1 Bedroom,AR 2 Bedroom,AR 3 Bedroom +,AR Total,VR Bachelor,VR 1 Bedroom,VR 2 Bedroom,VR 3 Bedroom +,VR Total,Units Bachelor,Units 1 Bedroom,Units 2 Bedroom,Units 3 Bedroom +,Units Total
ID_29,N.S.,Halifax,Dartmouth North,Wyse Road,2018,centre2,Zone8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,6.0
ID_30,N.S.,Halifax,Dartmouth North,Wyse Road,2018,centre2,Zone8,645.0,770.0,896.0,0.0,839.0,0.0,0.5,0.0,0.0,1.5,38.0,428.0,714.0,40.0,1220.0
ID_31,N.S.,Halifax,Dartmouth North,Albro Lake/Lake Banook,2018,centre2,Zone8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0
ID_32,N.S.,Halifax,Dartmouth North,Albro Lake/Lake Banook,2018,centre2,Zone8,674.0,860.0,1078.0,1230.0,998.0,0.0,0.3,0.4,0.0,0.6,17.0,490.0,790.0,164.0,1461.0
ID_33,N.S.,Halifax,Dartmouth North,Burnside/Tufts Cove,2018,centre2,Zone8,0.0,0.0,0.0,952.0,795.0,0.0,0.0,0.0,5.9,0.0,1.0,16.0,2.0,19.0,38.0
ID_34,N.S.,Halifax,Dartmouth North,Burnside/Tufts Cove,2018,centre2,Zone8,600.0,679.0,845.0,0.0,758.0,2.8,5.3,3.8,0.0,4.4,143.0,2162.0,1805.0,137.0,4247.0
ID_35,N.S.,Halifax,Dartmouth South,Downtown Dartmouth,2018,centre2,Zone9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ID_36,N.S.,Halifax,Dartmouth South,Downtown Dartmouth,2018,centre2,Zone9,586.0,758.0,818.0,917.0,804.0,0.0,2.4,3.0,2.7,3.0,42.0,932.0,1004.0,276.0,2254.0
ID_37,N.S.,Halifax,Dartmouth South,Woodside/Eastern Passage,2018,centre2,Zone9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0
ID_38,N.S.,Halifax,Dartmouth South,Woodside/Eastern Passage,2018,centre2,Zone9,843.0,959.0,1425.0,0.0,1266.0,0.0,1.9,0.7,0.0,1.0,48.0,278.0,548.0,20.0,894.0
ID_39,N.S.,Halifax,Dartmouth East,Portland Estates/Morris Lake,2018,centre2,Zone10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ID_40,N.S.,Halifax,Dartmouth East,Portland Estates/Morris Lake,2018,centre2,Zone10,0.0,1103.0,1506.0,0.0,1428.0,0.0,2.0,0.6,0.0,0.8,5.0,149.0,695.0,18.0,867.0
ID_41,N.S.,Halifax,Dartmouth East,Woodlawn/Forest Hills/Port Wallace,2018,centre2,Zone10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,6.0,17.0,25.0
ID_42,N.S.,Halifax,Dartmouth East,Woodlawn/Forest Hills/Port Wallace,2018,centre2,Zone10,0.0,675.0,769.0,792.0,745.0,0.0,1.7,2.5,5.6,2.6,5.0,320.0,712.0,123.0,1160.0
ID_43,N.S.,Halifax,Dartmouth East,Cole Harbour,2018,centre2,Zone10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ID_44,N.S.,Halifax,Dartmouth East,Cole Harbour,2018,centre2,Zone10,0.0,0.0,835.0,0.0,820.0,0.0,0.0,1.3,0.0,1.2,4.0,12.0,284.0,7.0,307.0
ID_45,N.S.,Halifax,Bedford,Bedford,2018,centre2,Zone11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,10.0
ID_46,N.S.,Halifax,Bedford,Bedford,2018,centre2,Zone11,0.0,843.0,1278.0,1498.0,1249.0,0.0,0.5,1.3,0.4,1.1,27.0,227.0,1384.0,251.0,1889.0
ID_47,N.S.,Halifax,Sackville,Sackville,2018,centre2,Zone12,0.0,0.0,1444.0,1453.0,1449.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,23.0,54.0
ID_48,N.S.,Halifax,Sackville,Sackville,2018,centre2,Zone12,0.0,985.0,1082.0,1286.0,1093.0,0.0,0.8,2.2,3.0,2.0,5.0,259.0,968.0,203.0,1435.0
ID_49,N.S.,Halifax,Remainder of CMA,Timberlea/Beechville,2018,centre2,Zone3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ID_50,N.S.,Halifax,Remainder of CMA,Timberlea/Beechville,2018,centre2,Zone3,0.0,816.0,1130.0,0.0,1036.0,0.0,0.0,0.0,0.0,0.0,0.0,77.0,192.0,0.0,269.0
ID_51,N.S.,Halifax,Remainder of CMA,Hammonds Plains,2018,centre2,Zone3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,25.0
