Rent ID,Province,Bachelor,1 Bedroom,2 Bedroom,3 Bedroom +,Total,Year,Centre_id,Zone_id,Neighbourhood_id,Dwelling_id
Rent_1,Nfld.Lab.,0.0,783.0,943.0,0.0,1166.0,2018,centre1,Zone1,Neighbourhood1,Dwelling1
Rent_2,Nfld.Lab.,664.0,829.0,1049.0,1002.0,941.0,2018,centre1,Zone1,Neighbourhood1,Dwelling2
Rent_3,Nfld.Lab.,0.0,0.0,743.0,0.0,576.0,2018,centre1,Zone2,Neighbourhood2,Dwelling1
Rent_4,Nfld.Lab.,762.0,773.0,881.0,959.0,839.0,2018,centre1,Zone2,Neighbourhood2,Dwelling2
Rent_5,Nfld.Lab.,0.0,0.0,0.0,0.0,0.0,2018,centre1,Zone3,Neighbourhood3,Dwelling1
Rent_6,Nfld.Lab.,0.0,720.0,715.0,677.0,709.0,2018,centre1,Zone3,Neighbourhood3,Dwelling2
Rent_7,N.S.,0.0,0.0,0.0,0.0,0.0,2018,centre2,Zone4,Neighbourhood4,Dwelling1
Rent_8,N.S.,978.0,1202.0,1774.0,2099.0,1436.0,2018,centre2,Zone4,Neighbourhood4,Dwelling2
Rent_9,N.S.,0.0,0.0,0.0,0.0,0.0,2018,centre2,Zone4,Neighbourhood5,Dwelling1
Rent_10,N.S.,856.0,1120.0,1515.0,1852.0,1197.0,2018,centre2,Zone4,Neighbourhood5,Dwelling2
Rent_11,N.S.,0.0,0.0,0.0,0.0,0.0,2018,centre2,Zone4,Neighbourhood6,Dwelling1
Rent_12,N.S.,757.0,963.0,1395.0,1722.0,1210.0,2018,centre2,Zone4,Neighbourhood6,Dwelling2
Rent_13,N.S.,0.0,0.0,0.0,0.0,0.0,2018,centre2,Zone5,Neighbourhood7,Dwelling1
Rent_14,N.S.,752.0,916.0,1144.0,1478.0,1060.0,2018,centre2,Zone5,Neighbourhood7,Dwelling2
Rent_15,N.S.,0.0,0.0,0.0,0.0,0.0,2018,centre2,Zone5,Neighbourhood8,Dwelling1
Rent_16,N.S.,814.0,982.0,1216.0,1194.0,1109.0,2018,centre2,Zone5,Neighbourhood8,Dwelling2
