Zone_id,Zones,Lat,Lon
Zone122,Three Townships,46.1845,-62.5679
Zone123,Downtown North,62.4541842,-114.3704916
Zone124,Northeast,43.67602,-79.657036
Zone125,Northwest,44.40431,-64.35666
Zone126,Southwest,50.979627,-114.129269
Zone127,Central South,43.26444,-79.87528
Zone128,St. Thomas,42.779022,-81.1929882
Zone129,Strathroy-Caradoc,42.9064729,-81.55485268973419
Zone130,St. Catharines (Core),43.270858,-79.261356
Zone131,St. Catharines (Remainder North),47.56494,-52.70931
Zone132,St. Catharines (Remainder South),43.1579812,-79.2441003
Zone133,Niagara Falls (Core),43.1065603,-79.0639039
Zone134,Niagara Falls (Remainder),43.1065603,-79.0639039
Zone135,Welland,42.9922181,-79.2484192
Zone136,Fort Erie,42.91308,-78.918611
Zone137,Oshawa (North),43.8975558,-78.8635324
Zone138,Oshawa (South/Central),43.827693,-78.825991
Zone139,Whitby,43.87982,-78.9421751
Zone140,Clarington,43.96868585,-78.65135738273909
Zone141,Sandy Hill/Lowertown,47.84741,-64.5114
Zone142,Glebe/Old Ottawa South,54.30199,-8.25254
Zone143,Alta Vista,45.3865483,-75.6625397
Zone144,Carlington/Iris,17.72861,-95.4225
Zone145,Chinatown/Hintonburg/Westboro N,45.40379,-75.7283
Zone146,New Edinb./Manor Park/Overbrook,,
Zone147,Westboro S/Hampton Pk/Britannia,,
Zone148,Hunt Club/South Keys,45.338015,-75.711276
Zone149,Vanier,45.4364072,-75.6619152
Zone150,Gloucester North/Orleans,39.893757,-75.121178
Zone151,Eastern Ottawa Surrounding Areas,44.61685,-63.48199
Zone152,Nepean,45.3446891,-75.7639408
Zone153,Western Ottawa Surrounding Areas,43.990992,-64.664154
Zone154,North Grenville MU,44.985842649999995,-75.64483041274728
Zone155,Lockerby,44.32004,-81.22948
Zone156,New Sudbury,47.15188,-68.50499
Zone157,Old Sudbury,47.1089348,-81.2633416
Zone158,North Ward,42.67508,-81.21789
Zone159,South Ward,45.36203,-75.69602
Zone160,Toronto (Central),43.64877,-79.38171
Zone161,Toronto (East),43.7305734,-79.3342029
Zone162,Toronto (North),43.64877,-79.38171
Zone163,Toronto (West),43.64877,-79.38171
Zone164,Etobicoke (South),43.6435559,-79.5656326
Zone165,Etobicoke (Central),43.6435559,-79.5656326
Zone166,Etobicoke (North),43.6435559,-79.5656326
Zone167,York,46.3160182,-63.0972127
Zone168,East York,43.699971000000005,-79.33251996261595
Zone169,Scarborough (Central),43.7729744,-79.2576479
Zone170,Scarborough (North),43.7729744,-79.2576479
Zone171,Scarborough (East),54.34937,-0.52973
Zone172,North York (Southeast),50.98395,-113.988735
Zone173,North York (Northeast),43.67602,-79.657036
Zone174,North York (Southwest),50.979627,-114.129269
Zone175,North York (N.Central),43.76681,-79.4163
Zone176,North York (Northwest),44.40431,-64.35666
Zone177,Mississauga (South),43.5896231,-79.6443879
Zone178,Mississauga (Northwest),43.5896231,-79.6443879
Zone179,Mississauga (Northeast),43.5896231,-79.6443879
Zone180,Brampton (West),43.711894,-79.750177
Zone181,Brampton (East),43.685832,-79.7599366
Zone182,Oakville,43.447436,-79.666672
Zone183,Caledon,43.827060149999994,-79.9061036956765
Zone184,Richmond Hill/Vaughan/King,43.902078,-79.428887
